"Enzyme","sample","Vmax","Vmax_se","Km","Km_se","max_pre_decrease_S","Sinhibition","INHbetter_aov_pvalue"
"NAG","76",364.272182508672,9.02752794077917,115.410429241403,9.43016364946175,500,TRUE,9.24311510261946e-07
"NAG","77",130.663282098999,5.61402720906393,93.5493540907171,13.5457315239548,500,TRUE,3.58749815333135e-09
"NAG","78",586.259120717223,27.6910220830099,59.2589639879298,9.91718152748497,500,TRUE,1.86202136339683e-12
"NAG","79",294.333179449224,9.76694356251021,138.701693065221,14.8505535500632,500,TRUE,1.44188721155237e-05
"NAG","80",12940.1491828659,574.983535305048,169.731201468908,23.6312793500659,500,TRUE,1.125456813153e-12
"NAG","81",6582.38363305302,205.692767949805,144.514767392238,14.4926131438934,500,TRUE,3.69648109944489e-16
"NAG","82",2493.86297019244,106.692817512474,94.7929134071731,13.6487997103253,500,TRUE,1.0258054882231e-12
"NAG","83",3548.42695884624,128.332683231514,95.3344910292434,11.5972524510536,500,TRUE,1.0689552772237e-12
"NAG","84",53.8650432924818,6.26520363073418,16.4518718955741,8.41017166781826,100,TRUE,3.82471909937265e-12
"NAG","85",185.431681823457,10.4871114262933,41.3406097999349,8.70426511438179,500,TRUE,4.33129556221015e-16
"NAG","86",150.818853708461,11.7512018243057,40.6921366857639,11.8322413970932,500,TRUE,3.37210245989393e-14
"NAG","87",194.197605479146,9.44420477963978,70.375609886409,11.8847921806794,500,TRUE,3.34416453329277e-18
"NAG","88",505.761516800023,28.6747394351322,167.167378723715,29.7708577231649,500,TRUE,0.00391839589672724
"NAG","89",158.812379719625,10.0573680896617,52.2664059825193,11.9176662176736,500,TRUE,8.17321602323134e-08
"NAG","90",197.273088413428,6.44273699316793,66.6313229185675,7.60348040557381,500,TRUE,4.27617956831473e-06
"NAG","91",329.640152339571,20.8133645275124,37.860251049052,9.02182507044994,500,TRUE,3.28627112000263e-17
"NAG","92",10382.7795298038,323.498931048654,247.223213469597,22.3001066433481,1000,FALSE,5.70643052593049e-09
"NAG","93",10652.1855129154,308.134482945132,265.592304945134,21.8171940023527,1000,FALSE,1.60678623940463e-06
"NAG","94",19175.5592957643,693.575969023231,228.256220886804,24.3811432529197,1000,FALSE,3.25762453060808e-09
"NAG","95",16055.5382399714,498.209995260149,256.60970460797,22.8264048155531,1000,FALSE,0.000157952219100355
"NAG","96",17883.5531251267,462.597718151686,215.676478366355,16.6921875575098,1000,FALSE,4.97168296715304e-10
"NAG","97",13951.1063516845,445.864819485246,248.493301189632,22.9608782193436,1000,FALSE,6.55703795261596e-06
"NAG","98",17216.4008349156,517.559890698926,242.600673360312,21.2166020638689,1000,FALSE,1.70427234324468e-09
"NAG","99",1008.84269123512,68.252676970792,43.9219208390343,10.9629996876069,500,TRUE,1.65043130190881e-16
"NAG","100",341.415046515804,20.7400307900652,49.9626277917741,10.9946498880642,500,TRUE,4.88703198582439e-06
"NAG","101",349.021950313318,23.4192638918628,51.1914013091626,12.402084894676,500,TRUE,3.82813180664357e-16
"NAG","102",181.154401129119,9.10178171303195,68.5657116050846,11.9977851639271,500,TRUE,6.59826817362171e-11
"NAG","103",5718.61697122398,147.813845454898,217.268474335885,16.775149072498,1000,FALSE,1.32740397857168e-07
"NAG","104",18684.6806026582,1082.59090400028,241.881300067903,40.8013312922618,500,TRUE,1.17021277563133e-15
"NAG","105",14231.8792744174,454.104614365941,245.854864995814,22.7433726924119,1000,FALSE,6.12780195282998e-16
"NAG","106",14872.9208839048,448.501936506734,271.060367174565,23.0795282653894,1000,FALSE,5.81521812865228e-06
"NAG","107",12645.153917343,550.92636429697,202.799442215084,26.7880843556311,500,TRUE,5.17818924999729e-11
"NAG","108",173.229662207498,8.6038143676785,87.3677078929913,14.7262802527318,500,TRUE,1.8016225837348e-06
"NAG","109",135.656256296089,7.03043172176642,65.8402005632705,11.9388402596182,500,TRUE,1.1882272835267e-06
"NAG","110",52.4822972885458,3.13537004191216,51.676156067877,11.1325171982847,500,TRUE,7.80519356581184e-08
"NAG","111",132.068868545654,5.1264458378086,97.2022317000608,12.6658886821734,500,TRUE,0.00358148800515316
"NAG","112",175.875850023424,8.92083174235285,62.9231762838054,11.2264843660621,500,TRUE,1.91879476398569e-12
"NAG","113",137.532572629681,6.47015215451106,88.3596245647169,14.0907400708209,500,TRUE,1.07584363858339e-09
"NAG","114",97.5098877630646,3.50368953341717,79.6188037092865,9.80278338530574,500,TRUE,0.000343821075885821
"NAG","115",10775.8253750449,222.803831032501,155.975752493978,10.2390293452738,1000,FALSE,4.95194686062704e-06
"NAG","116",2622.85787048316,100.541101542076,80.9148823492472,10.6100744591005,500,TRUE,2.98464022070549e-08
"NAG","117",3175.53242262969,190.144194249167,102.360097238767,20.4661684815846,500,TRUE,3.3676623494149e-06
"NAG","118",5223.18651155461,140.827315402861,146.31265008037,12.6387565277107,500,TRUE,7.22060953831734e-10
"NAG","119",180.283010403589,8.27375170114746,108.036887057105,16.4633615139365,500,TRUE,0.00200070692596265
"NAG","120",132.268927052194,6.09611666596201,81.9965214526197,12.9095187147408,500,TRUE,0.000544907394636196
"NAG","121",146.469099590662,6.78735329054725,90.3377667524353,14.1583256994899,500,TRUE,7.30618746938105e-05
"NAG","122",88.45956041551,3.97452847234134,127.214566977918,18.6392561109834,500,TRUE,9.97387801367248e-05
