"Enzyme","sample","Vmax","Vmax_se","Km","Km_se","max_pre_decrease_S","Sinhibition","INHbetter_aov_pvalue"
"BG","28",15734.7059968878,596.29428539411,49.5342268205254,6.80815467418438,500,TRUE,1.47352840716916e-15
"BG","29",4436.93027733967,177.034787847579,29.3470923830587,4.61138146368342,500,TRUE,9.86497618719375e-13
"BG","30",2946.41334733967,93.9658860753841,24.1428888148247,3.14086759592157,500,TRUE,2.45558347675951e-11
"BG","31",235.333217399898,3.89517007550235,31.106355536434,2.00723728417419,500,TRUE,0.000504738877269091
"BG","32",5378.04044316683,289.446788797677,22.0902566898287,4.93134789324553,500,TRUE,2.235175118029e-15
"BG","33",3186.50898770718,154.7304850934,17.603387933487,3.70585437505316,100,TRUE,5.61747330908394e-25
"BG","34",15329.405843369,565.777447778849,41.1472214323015,5.65787877040909,500,TRUE,2.15682377883706e-16
"BG","35",6791.8092014434,266.518893914423,29.4960974762668,4.55420163042135,500,TRUE,6.35797183404246e-20
"BG","36",9008.78014694457,434.638389987411,21.0893270040872,4.25779608134264,100,TRUE,8.87417341045126e-17
"BG","37",7106.09735283817,196.172703074514,89.9282570540763,8.40026926845307,500,TRUE,3.45122209665225e-09
"BG","38",17663.3624093326,629.484854042026,39.8808048806435,5.32048050294844,500,TRUE,4.78984309070861e-16
"BG","39",19018.8747737138,625.078096595848,55.0741538124518,6.47276272900942,500,TRUE,1.40398866324706e-18
"BG","40",17146.1414936799,361.032571105588,127.883909410432,8.77562436468308,1000,FALSE,0.0479015512718915
"BG","41",9596.88943378017,437.569570518339,63.143674054783,10.1227917008567,500,TRUE,2.4706309174046e-07
"BG","42",8817.6992928124,291.018350395367,44.9898561482525,5.45892247979002,500,TRUE,1.94245762250723e-12
"BG","43",8336.71961536498,311.564759259474,37.7919467101019,5.33194189090591,500,TRUE,2.51186801288787e-08
"BG","44",1781.44245182155,65.2733202389719,31.1318108484324,4.44645317085596,500,TRUE,1.29400479411074e-11
"BG","45",2768.07204526072,54.1768182468467,64.5909346785561,4.43305799032046,1000,FALSE,0.0248492530428071
"BG","46",18230.9653979104,582.619771972174,47.7826415645264,5.56594657776581,500,TRUE,1.95051158287007e-15
"BG","47",29960.2018378685,1002.63948952831,43.220273838146,5.34899929921834,500,TRUE,1.75909397357944e-08
"BG","48",8559.79181569324,157.372040586444,79.8043123332051,5.0262171176735,500,TRUE,3.55410659188517e-08
"BG","49",28202.7425200281,859.259332412557,42.8358058042877,4.83283387404225,500,TRUE,9.26456291087525e-13
"BG","50",20250.0364745423,651.573330721097,48.8038369159911,5.70694726131427,500,TRUE,4.56386195975453e-18
"BG","51",9191.24976327176,291.021910024457,46.3458969497562,5.37195926869468,500,TRUE,6.15011294813535e-15
"BG","52",12672.6584729096,318.869896735483,50.6912964812135,4.61139769358334,500,TRUE,5.34304293734714e-14
"BG","53",7112.96714561725,113.616353335925,51.8917471065123,2.98726384971015,500,TRUE,8.69059229856787e-10
"BG","54",20105.5938276343,532.273889048526,54.8792698500442,5.1977763500816,500,TRUE,2.23880812201721e-11
"BG","55",532.493189941026,16.0647078286659,31.2828556575852,3.67578635213511,500,TRUE,5.07068811880377e-12
"BG","56",12644.7459161022,257.360493449906,90.3646740345871,6.22021454059196,500,TRUE,9.58382773366613e-14
"BG","57",12271.3840594969,201.378808181787,69.3112746973345,3.9565063788384,500,TRUE,3.00887153992935e-05
"BG","58",11760.683154106,189.863405014152,83.8505538094187,4.61344947253924,500,TRUE,9.7836582587434e-08
"BG","59",319.910789314943,23.620373964464,9.18966368749454,3.3986420099331,100,TRUE,2.74955002006591e-18
"BG","60",114.082124284832,8.8482273979896,6.36604637179097,2.74220303303588,100,TRUE,4.62059819905098e-14
"BG","61",753.442840912695,69.4176554604131,8.16149112319057,3.88512691112475,100,TRUE,1.20088338553021e-22
"BG","62",71.6718594960078,4.20529312131623,13.8258840795558,3.69697831093445,100,TRUE,1.07321944388367e-07
"BG","63",1448.17698437946,65.3871174843777,23.0098681011039,4.27624990612802,500,TRUE,8.71940402005674e-17
"BG","64",1481.21277076299,54.2644920662417,29.9025193381732,4.30006245511558,500,TRUE,1.94968557017477e-10
"BG","65",9994.98550544503,460.803816492369,38.5967975181351,6.69536480078584,500,TRUE,2.35003880134015e-12
"BG","66",22817.4249079203,787.668537980221,50.4634105799572,6.30191359755569,500,TRUE,1.46191381066797e-18
"BG","67",5689.93511971428,237.128418596444,19.9445584884617,3.5159208439322,500,TRUE,2.90618573481387e-16
"BG","68",3688.05615307388,150.047226291728,35.7277374339569,5.53714053112812,500,TRUE,5.27236807830096e-13
"BG","69",270.60787198541,11.0465988539767,5.37013698655293,1.28801382746941,100,TRUE,1.47873309450665e-12
"BG","70",1243.03293029097,47.4982142194578,6.96149694803804,1.43763727973778,100,TRUE,3.40002713476171e-08
"BG","71",856.501232760034,33.9362826548057,8.48319170595693,1.71880912382081,100,TRUE,1.20314615062203e-07
"BG","72",1036.54213119405,70.3983104811586,7.66792515970265,2.73725285341824,100,TRUE,1.34962619130679e-06
"BG","73",224.422043932221,15.7175284637034,9.96594574798463,3.42646903926364,100,TRUE,6.63696080381339e-16
"BG","74",89.7199852176013,4.18849741419827,21.6679109544874,4.21113980318213,500,TRUE,1.6566584714107e-08
"BG","75",921.230630583809,31.5181144748825,9.22161860002449,1.57893976326,50,TRUE,1.02647272018736e-06
"BG","76",1226.1969522347,45.4428035049565,13.3058225426521,2.26587360825194,100,TRUE,6.40628997718832e-14
"BG","77",180.029707250276,11.8569746595843,7.93199630417849,2.72019187474512,100,TRUE,1.93486127467844e-17
"BG","78",1339.23495887238,51.4984987096979,20.6628890503793,3.33805955852748,100,TRUE,2.08331299387721e-08
"BG","79",824.597800920779,26.4279852148564,16.0368837591422,2.27074973888536,500,TRUE,1.08767530960079e-11
"BG","80",13847.6084286143,243.704137097861,161.691316707417,8.98554203644899,1000,FALSE,0.00257829800066337
"BG","81",5215.00302113444,160.520618937811,109.835557372822,11.2062626671231,500,TRUE,1.55809642565968e-05
"BG","82",2975.34207712823,48.2246442570066,60.7136174532713,3.47628641365129,500,TRUE,9.75751568231799e-12
"BG","83",6064.69933068377,104.665797238293,36.0026927656623,2.36395819437735,500,TRUE,1.2755876441351e-07
"BG","84",52.7806471821256,4.15519790923067,10.5094198465114,4.01019372778929,500,TRUE,3.1626695076014e-08
"BG","85",624.112992567667,16.2336151977898,29.2020595926722,2.99386691333026,500,TRUE,1.58944090440506e-07
"BG","86",161.526499748169,10.0540410716662,20.9080412592108,5.45493913759466,500,TRUE,1.382935526588e-12
"BG","87",197.050190231711,9.76576466281882,10.6278494160428,2.54619870069792,100,TRUE,2.04088899947214e-09
"BG","88",701.989614521331,46.1073868709061,12.0968386612104,3.72826816696629,100,TRUE,3.2624562909809e-15
"BG","89",654.009426498866,20.0192992576162,4.43180734569486,0.856021241726257,100,TRUE,5.28207118120387e-10
"BG","90",468.076890364984,13.0947296227037,15.5676049363427,1.93589626131842,500,TRUE,1.84425733306476e-08
"BG","91",302.92740473846,19.1262082925987,7.6604861369437,2.54288328201418,100,TRUE,3.12375104087381e-11
"BG","92",10638.9536744466,273.606267805357,57.3179153222933,5.24447775298666,500,TRUE,6.55205299900135e-09
"BG","93",9608.84272169343,162.895151331862,58.4446528976265,3.516495064316,500,TRUE,2.99311569266096e-07
"BG","94",19014.9219708777,660.291065654,53.5823906451101,6.67736789771547,500,TRUE,6.84075260020988e-13
"BG","95",14418.1999883235,341.838565057693,52.1630154104112,4.45405717085139,500,TRUE,1.01834261839557e-09
"BG","96",18012.1916511854,529.475388688538,52.4013947253455,5.54423587112567,500,TRUE,5.5723834924485e-14
"BG","97",11212.2463891254,259.942789946417,50.4346527863442,4.2302575760847,500,TRUE,8.47755299818805e-15
"BG","98",18859.7620623636,454.899024709037,59.2980191310665,5.06720643527109,500,TRUE,1.53277358054535e-16
"BG","99",3958.90580202496,350.500437195409,7.83457722269712,3.62404954254913,100,TRUE,6.9456551140716e-14
"BG","100",597.649822526441,32.1732280583825,8.91331764833417,2.42225249761662,100,TRUE,5.39908703584921e-15
"BG","101",990.517054541786,44.2497613349219,12.2037278760846,2.55318786391101,100,TRUE,2.63033932691566e-15
