"Enzyme","sample","Vmax","Vmax_se","Km","Km_se","Ki","Ki_se","Rmax","SRmax","SRmax05","SRmax05highS","max_pre_decrease_S","Sinhibition","INHbetter_aov_pvalue"
"AP","22",2411.18507279179,110.499142610469,81.7770803607344,7.23057188006541,10002.9923075442,5703.90830974635,2041.93345015123,904.442096422898,60.3323210635136,13563.1312204281,500,TRUE,0.0759424799871008
"AP","23",20259.7384559234,450.535446140253,48.0293926203032,2.36448132057375,10303.1381942629,3098.5060787845,17825.6115409381,703.458221611985,37.8498373064554,13086.1209791779,500,TRUE,0.00180748693929656
"AP","24",18686.4240727287,748.877926427151,121.210070422963,8.47876509403953,5251.87780649887,1443.47523880867,14331.860669196,797.859936817562,76.1234503174272,8370.02538883916,1000,FALSE,0.000422137864590174
"AP","25",16205.4949281645,470.553407227737,34.0471476664459,2.42253447396513,11929.4832675978,5579.23700579992,14641.1427811786,637.310660821155,28.1082109633093,14453.260518799,500,TRUE,0.0331345679688772
"AP","26",13743.5223451695,500.717546460213,151.547246926232,9.15019570028633,3825.55188439148,725.651243905098,9830.36947583833,761.414378674968,85.4392372110525,6785.84610021882,1000,FALSE,2.44224994493364e-06
"AP","27",6203.19323807127,167.768454134312,22.6602591414866,1.72062808961954,1e+07,3514505914.88583,6184.5735590052,15053.3249288941,22.582245617903,10060268.0603769,500,TRUE,1
"AP","28",29257.1506725359,846.401389207598,152.637368128316,7.39503426716094,4936.80280977657,907.862920393357,21645.1587954781,868.067156303458,90.6352746455456,8326.05390283645,1000,FALSE,2.72804996083759e-06
"AP","29",13544.8269601863,847.873324164495,168.85244178663,16.7153904942513,2291.15303218449,511.601777752249,8778.54906342909,621.986160610662,82.4214084217548,4698.17590690046,500,TRUE,5.08889350114008e-06
"AP","30",13398.8729454254,368.678860709731,140.872288344179,6.6803708452498,7847.5302369186,2044.73755447147,10567.2353926967,1051.42738328658,92.4297099618865,11964.942700275,1000,FALSE,0.000353897159656651
"AP","31",296.502492017952,16.2664237209287,7.82232327972352,1.5725624237527,2144.17287907928,625.78741953313,264.545338433748,129.508352733612,6.320639677368,2656.30245143315,100,TRUE,0.000376156770816716
"AP","32",19042.1362012184,458.243635543244,134.509734444452,5.54749898571037,5263.19263384534,860.401439922191,14428.8215008744,841.398029180324,82.8859944737093,8549.37941665018,1000,FALSE,5.43569907055781e-07
"AP","33",10992.2461089202,365.361967123287,132.237654337118,7.48330786361713,4203.74612686501,794.292562444073,8114.01760537163,745.58267633132,78.2194446916246,7114.00351128982,1000,FALSE,2.5750523773456e-06
"AP","34",21297.7221811226,525.578882145974,103.791622400725,4.72487358054216,14017.9125743009,5710.01134111694,18170.6375321463,1206.20972005627,77.5670417037882,18775.3365920269,1000,FALSE,0.0172013953069879
"AP","35",21030.8024969603,678.351528323816,51.5146731859033,3.67881045121911,729448.841637943,20144488.2161769,20683.1741058614,6130.034150216,50.2713071624874,753927.443737105,1000,FALSE,0.971918743749095
"AP","36",40414.4728829659,2404.64564290721,160.381180456425,15.4855223684652,3045.53913614888,791.383983947072,27700.8825716893,698.889949692939,84.9236212498171,5760.8257521895,500,TRUE,7.07965461834566e-05
"AP","37",11868.0245928272,538.442243642897,48.8603049305709,4.98012254537136,1e+07,5348320601.63961,11815.7884873313,22104.3671998478,48.634471286794,10088404.5424642,1000,FALSE,1
"AP","38",17294.3526563135,621.562671087702,90.6536683622657,6.05684291812447,5930.47780285792,1665.69190251841,13865.7243462003,733.225455075081,61.0837887866329,8805.37054693847,500,TRUE,0.00062679410531728
"AP","39",32510.0638670045,912.204786968864,133.380472388193,6.45803003559553,6098.81035740812,1314.68822555941,25089.3858594413,901.921397061352,84.6086879131461,9623.87714104912,1000,FALSE,3.1405593950679e-05
"AP","40",14965.9517090514,1008.63323388668,85.4915033325302,11.2584530536785,1e+07,7485912976.22133,14878.9428351511,29238.9300988477,84.8013774244008,10116906.6519035,1000,FALSE,1
"AP","41",8970.72659608713,606.41156079379,57.0652119220048,8.31368967987451,1e+07,7834748986.15011,8928.07126071654,23888.3260028837,57.3377161785387,10095497.6748704,1000,FALSE,1
"AP","42",8089.16997835841,524.34467597965,77.6226893818662,10.0483320735943,1e+07,7273507389.19984,8044.34551957408,27860.848763429,78.0181783554367,10111574.8775079,1000,FALSE,1
"AP","43",5140.94931058893,342.564199250081,159.609161747002,16.9871599512128,2341.68596767309,568.088315531233,3377.42809419064,611.354671508297,79.4229141203398,4709.48330876952,500,TRUE,1.56071919552878e-05
"AP","44",2562.18745905817,74.0134618919666,39.362960347088,2.69734214000913,31719.8823384244,36403.1358336793,2393.55125421452,1117.40255534955,34.642943510187,36157.9439069729,500,TRUE,0.388599721622322
"AP","45",9751.26702066449,468.134347295303,90.8157087839646,8.40861454066658,1e+07,5297675881.726,9692.84698190446,30135.6448054401,90.4159760139216,10120700.0558195,1000,FALSE,1
"AP","46",26115.9507649453,1633.55350343793,116.267360896218,13.3553638330507,1e+07,6715381106.79302,25939.0567729987,34098.0000727636,115.944794726869,10136530.4620953,1000,FALSE,1
"AP","47",38145.9850123938,1281.55848438423,124.321159034293,7.41140294899253,10823.8907783296,4646.16967238599,31412.8393045481,1160.01665799355,87.5900166801811,15379.3298403127,1000,FALSE,0.0209371234324773
"AP","48",15519.018398078,1025.08066481949,69.6178147055063,9.42338240910445,1e+07,7496266584.58255,15437.5538459074,26385.1880238717,71.2471323776914,10105565.0081936,1000,FALSE,1
"AP","49",32957.444245384,2948.25261868941,139.128232987287,21.3343777218945,6179.20631210777,4273.09523101865,25349.8589585777,927.201194707732,87.8147346122835,9800.99479049846,1000,FALSE,0.122519169777451
"AP","50",25085.5583593464,765.799856697284,113.87025397359,6.30922441656572,15613.1653910534,8606.65817632757,21425.9850048173,1333.36983182121,85.3442036569231,20874.5401409086,1000,FALSE,0.0718335039996526
"AP","51",12764.5350502693,442.255972292815,71.2270549713215,5.02938353389298,1e+07,3922808033.13935,12696.763794987,26688.3972863343,72.0658792610287,10106781.4778995,1000,FALSE,1
"AP","52",16556.0467537977,402.876358918684,72.1190689704236,3.55562128887464,80096.5048287934,179038.698939467,15618.714512755,2403.43199530122,64.6587865522581,89657.6825283438,1000,FALSE,0.65799310262077
"AP","53",12120.5326293924,504.515421036128,122.139418099027,9.17299115169718,28455.2864775063,37455.1052317681,10716.3507690961,1864.27254772572,97.1383135678666,35816.3149246443,1000,FALSE,0.447014157626262
"AP","54",20925.9425976238,539.050255349214,66.3822232908413,3.54538695159875,1e+07,2938272812.52562,20818.6650663306,25764.7478720133,66.9950439716317,10103192.1949103,1000,FALSE,1
"AP","55",597.862302233886,27.28186990162,13.0823518151915,1.921251687877,5773.68261063148,2613.2845861331,545.892224872111,274.83330799147,11.0219178422422,6864.30259508783,500,TRUE,0.0207896137073222
"AP","56",50369.3106252037,4144.02979975386,182.384858821015,25.6073839495686,1e+07,8320921370.29642,49942.7343453552,42706.5403446609,179.385407988375,10170775.3278392,1000,FALSE,1
"AP","57",48187.7093798024,3737.20006002967,120.857245569909,17.0921668178892,1e+07,8289205742.34041,47854.978227005,34764.5286995105,121.688019250212,10139143.1603416,1000,FALSE,1
"AP","58",44052.7026702187,3019.87645284802,207.136625266448,23.7871148178349,1e+07,6795224293.37589,43655.332063139,45512.2648597549,204.825674436341,10181971.4529576,1000,FALSE,1
"AP","59",1199.44523207473,45.2863276562418,20.2457189389133,2.21918002235779,1e+07,4986509642.76467,1196.0415978507,14228.7451797104,21.3452522947951,10057027.1793244,500,TRUE,1
"AP","60",217.941724700468,9.12654794344226,9.13920671796908,1.35914904019168,3527.67920573662,1063.465226939,197.805499259188,179.555533180985,7.61391599847362,4238.87450054047,500,TRUE,0.000547910946748875
"AP","61",487.066485655351,53.8559033076105,89.9141879546797,17.3685436066101,1652.00392331827,562.580951449694,332.107380743075,385.407046203241,47.2170848683838,3149.89006018091,500,TRUE,0.000248801457639326
"AP","62",103.038306851986,5.35705025707973,19.9870056238036,2.85966693699567,2539.74073556656,658.498468944109,87.5117384191733,225.303822348339,14.8264741579365,3428.20316996667,100,TRUE,0.000120768122886233
"AP","63",7179.7702681243,335.451455926784,23.0995638491117,3.01275417557204,1e+07,6054609951.41571,7158.01200082243,15198.5406697853,24.3200970813646,10060901.8171679,500,TRUE,1
"AP","64",3435.54022848309,113.023266683088,15.7100607740477,1.61810403755378,1e+07,4511307365.95187,3426.94956630039,12533.9781290888,16.2958011479303,10050199.6295195,500,TRUE,1
"AP","65",13111.5138854401,506.419283917267,44.0546798129152,3.93426625668061,1e+07,4606549346.76939,13056.7039139714,20989.2067055702,44.081742255923,10083947.0961646,1000,FALSE,1
"AP","66",48495.7631366758,861.473627989304,69.9954007450869,2.50080019971094,12729.7379739949,3558.43577378388,42232.4855766766,943.940205134691,54.1875865333846,16456.3838876627,1000,FALSE,0.00105161306679262
"AP","67",5646.67092793114,283.236702798637,89.0737687869431,8.56853758389208,24427.2549662916,34657.9559547835,5038.19606527044,1475.06869703318,71.9905514703663,30269.3761377959,1000,FALSE,0.484986332142494
"AP","68",4602.41181829489,144.119950144765,33.2426652676714,2.60973146577549,1e+07,3864049259.7516,4585.6900342818,18232.5712031165,34.6453498209035,10073012.3305895,500,TRUE,1
"AP","69",1434.72224567538,85.7774738798477,60.0152977817277,7.50015102610113,12274.6250632856,11351.158119043,1258.69589814684,858.292070528525,47.0391093759007,15666.3215047925,500,TRUE,0.274702438385602
"AP","70",6949.61681925583,371.70906822172,63.1996134324302,7.09558701479194,1e+07,6132480571.30682,6914.84960090054,25139.533295674,62.8551187510601,10100632.7778191,1000,FALSE,1
"AP","71",2003.0478883004,97.9459881042218,31.2428168343409,3.9004348637791,1e+07,6081993953.29334,1995.99180270631,17675.6377068384,31.8193298052897,10070807.1342198,1000,FALSE,1
"AP","72",2654.14937297746,153.00465788447,30.0691725204976,4.47569563391299,1e+07,7205696155.10199,2644.97634903468,17340.4649650745,31.2159585329874,10069357.207566,500,TRUE,1
"AP","73",1444.27754129396,38.4903478442328,14.3385147990385,1.22955593459002,1e+07,3705175187.58107,1440.82694697969,11974.3537608668,14.3706615791981,10047912.916738,500,TRUE,1
"AP","74",246.72672384756,29.2995870527307,96.1467633703389,21.7593873201113,1e+07,13025930339.0426,245.20607632698,31007.5415617457,96.1329921406258,10124192.5532084,1000,FALSE,1
"AP","75",6400.45378372695,313.861677020971,11.5588090418764,1.92065570725718,11994.2744598754,11197.2009199806,6026.29987402418,372.343293316201,10.3149407189307,13477.0109092986,500,TRUE,0.269026704331484
"AP","76",2178.92901210793,72.9487628277779,11.5177234172215,1.3262381194813,1e+07,4809058336.43024,2174.26214726558,10732.0656992126,11.8064529144253,10042998.6959166,500,TRUE,1
"AP","77",164.614439774074,22.0881986346445,20.5451717765504,7.67129594274147,4188.17163966143,4002.26479433347,144.388641210011,293.337187834275,16.1058221943211,5345.46369424398,500,TRUE,0.237068539835385
"AP","78",1506.71292103519,45.1430041609358,15.6588628103194,1.47034048838602,1e+07,4110387938.9428,1502.95147302337,12513.5377932539,16.2692260538355,10050061.3187081,1000,FALSE,1
"AP","79",1891.17678246826,72.0597239771522,13.3284922867066,1.6705569467594,1e+07,5355716730.04219,1886.82014909966,11544.9089588037,13.8552762781922,10046248.6475637,500,TRUE,1
"AP","80",17545.9472365014,1461.91450451735,63.5726143000494,11.1026312096535,1e+07,9545907082.83019,17457.9118394413,25213.610273035,63.0403297155589,10100924.9164575,1000,FALSE,1
"AP","81",5872.7576952026,650.375555186747,81.9022656809353,17.8930025280613,1e+07,12356674914.1403,5839.33500945538,28618.5718862656,83.0021586860389,10114397.2603868,1000,FALSE,1
"AP","82",5878.32207803168,703.617549025094,108.270384313012,24.1219259058463,1e+07,12957503082.9138,5839.89038381915,32904.4653980295,108.595595373035,10131806.4041404,1000,FALSE,1
"AP","83",5275.84726003766,559.077661009395,132.380332464882,25.1768299118232,1e+07,11200776892.3782,5237.73320974243,36384.1081332059,130.995888868428,10145514.2052874,1000,FALSE,1
"AP","84",296.382325620238,13.6491533224269,7.05473290105442,1.21227091788728,1546.15091198661,322.414134021907,261.107584860788,104.439847322692,5.57764561159292,1958.49857874732,100,TRUE,1.08577177723885e-06
"AP","85",349.088572171202,19.2675119502064,22.8825218167167,3.47185179979013,9645.11058819661,7488.61842170433,318.100621881632,469.791925706535,19.2164114025375,11508.3588979013,500,TRUE,0.184904558048797
"AP","86",2023.50192373188,121.645193024498,106.649302409565,11.3072847830243,3757.85814084922,1203.61751232165,1513.54442069015,633.066307171431,64.3892823675713,6230.15645972166,500,TRUE,0.0011463515692443
"AP","87",452.588235688086,53.336544822191,42.4672786856323,11.557096001811,17298.4079182285,45049.2200839996,411.782430029951,857.097608141078,35.5731080486596,20696.3886300994,1000,FALSE,0.69928343340624
"AP","88",847.835814302523,118.687993299191,25.4823357286562,9.19297294011315,3033.72998886107,2296.21729950206,716.501489033805,278.040511591837,18.741804661756,4127.8668590275,500,TRUE,0.112270615822369
"AP","89",663.311328106922,42.3083305476056,15.120839533604,2.95702114702004,4874.8393790425,2626.41418659258,596.831549402232,271.498920812948,12.4087415553073,5951.05793082436,500,TRUE,0.0442778026760791
