"Enzyme","sample","Vmax.boot","Vmax.boot.SE","Vmax.boot.median","Vmax.boot.CIlow","Vmax.boot.CIhigh","Km.boot","Km.boot.SE","Km.boot.median","Km.boot.CIlow","Km.boot.CIhigh","Ki.boot","Ki.boot.SE","Ki.boot.median","Ki.boot.CIlow","Ki.boot.CIhigh","Rmax.boot.mean","Rmax.boot.SE","Rmax.boot.median","Rmax.boot.CIlow","Rmax.boot.CIhigh","SRmax05.boot.mean","SRmax05.boot.SE","SRmax05.boot.median","SRmax05.boot.CIlow","SRmax05.boot.CIhigh"
"BG","38",30023.5974315396,929.735221018105,29964.8537481918,28311.3022795133,31890.9558803527,100.370158827564,5.13182266357287,100.162146183511,90.6831910964752,110.382022637861,1071.56146338899,80.1253440262886,1069.05908519894,921.17211114059,1234.20185865633,18602.0742877733,160.370804039118,18595.8582287808,18285.6628565919,18932.6006455453,45.9416483684148,0.948298292709751,45.906506822921,44.0414527324673,47.8042811605756
"BG","39",32976.9744646952,803.991341946368,32953.0202332781,31444.6103715289,34583.7265120908,135.150447870757,5.13691547636027,135.140108102507,125.179255947975,145.627007231216,1076.85873374185,61.5387716085962,1075.19634814676,959.064993607977,1201.26613361504,19287.2289681754,112.729690104172,19290.0049869495,19062.941010057,19502.6004325835,57.1240766796243,0.769081373230426,57.1178276311043,55.5174615467104,58.5657778979368
"BG","40",20005.0963128506,1486.57422666615,19866.6435149471,17584.0051313704,23437.1261548602,162.847965463419,19.8471370997332,161.361484655527,130.445120836972,205.974486305229,45959057.4199859,1323234303.8032,5561.59041650161,2613.09164795167,31271.3520780026,14960.5533357735,345.485194757068,14889.1238639736,14520.0434967108,15841.8233573261,98.4747140129667,5.71904726615067,97.9563536230186,89.1999408728273,111.427757854082
"BG","41",21192.0181233601,3990.37765924813,20688.55117561,15817.1721303154,29836.3924214839,213.027356731491,55.032533745948,205.179554049059,139.735502321635,328.845035987586,729.913582106013,213.441689075302,701.704163108963,384.799486675655,1189.94273212811,9925.73999137221,269.234582155074,9907.89610275457,9427.34716071508,10533.6421959572,67.0133750322931,3.76189479307417,66.9787465646815,59.3088447471839,74.7625578151121
"BG","42",14412.5108714565,634.641714297532,14357.0097887878,13277.3186078312,15790.1717669625,105.215338949027,7.66497629109914,104.541732306498,91.5021056259723,121.902090130247,1227.65353263324,132.339458939307,1224.77826672326,972.077312052701,1502.58299835238,9068.37996163902,111.341170992959,9064.73994766251,8850.16530677198,9293.201076117,49.1997852152574,1.42388645785214,49.1661264281242,46.4862866882192,51.9888909541575
"BG","43",13470.8309658808,980.575204828439,13365.1922061843,11714.5615132068,15617.6554356917,88.1137623974006,10.9168180188692,87.2549085757576,68.9556007420393,111.298838578126,1229.22285478218,234.244590885695,1206.57616384492,851.971252025011,1782.89320611833,8714.65964189525,188.960778217475,8701.03181887071,8386.25098242558,9115.74090065118,42.808687167762,2.25981875015205,42.932234798923,38.2663919226627,47.4360692419798
"BG","44",2824.9646925264,124.194524695487,2822.60140578538,2601.60411393712,3096.09203108906,73.0723893305302,5.76947663737565,73.1064980533789,61.9520027738407,85.2323946599569,1227.51922841501,150.5239890813,1208.99972041423,980.235161395309,1572.35435598579,1893.67546991062,26.7598311424134,1890.51655340166,1847.34624955295,1953.78184529989,37.4074949059121,1.38395582729279,37.4839502647856,34.6280302446114,40.1018769499452
"BG","45",3157.85425199293,185.21127981891,3136.73574535336,2842.47721342264,3565.8234136661,81.5195890305682,9.15417491581257,80.8810563234205,65.327614424947,100.619170773073,504797.708756755,11072045.1532753,6119.01574075746,2876.93624013156,27239.0564063611,2562.39278537988,41.4107152747752,2559.68976692886,2485.18195159477,2648.63260015882,56.0098936405325,2.69304582452824,55.9631657755131,50.9319944681086,61.4767781671892
"BG","46",29741.1072057929,881.387768849229,29707.2257288827,28137.7319531932,31593.2338972161,108.99907515463,5.24295663426537,108.743236394954,99.0250307145839,120.121869496828,1218.33430675918,91.3623251619994,1213.23127835081,1054.74705765144,1416.90571538336,18587.9518942212,150.68655647258,18566.6701298945,18342.8979951607,18935.799860813,50.5074443544167,0.960376932162621,50.4837664495474,48.6651869664945,52.4842038809055
"BG","47",46770.2590632064,2986.46935382174,46608.6142363328,41460.6125983448,53176.5253375249,94.0201055694238,10.1214021919173,93.2673087346839,76.2570809910903,116.015386523088,1393.79510713432,255.613716482098,1362.68316652506,981.52623947201,1993.06005624438,30603.4932789868,565.79641082146,30572.9923538581,29622.2893485221,31799.4379088241,46.4558113455724,2.05041401432386,46.4701235725713,42.3299282312363,50.6460102530559
