"Enzyme","sample","maxS","max_pre_decrease_S","Sinhibition","RSS_MM","RSS_INH","pvalue","INHbetter"
"BG","24",1000,500,TRUE,250001813.413758,1964401.01338278,1.37321692460578e-23,TRUE
"BG","25",1000,500,TRUE,2656917.27678721,48140.9947696753,8.90684222183132e-20,TRUE
"BG","26",1000,500,TRUE,6056762.98043916,896625.447261539,3.59844808847193e-10,TRUE
"BG","27",1000,500,TRUE,21812165.8082563,1831075.8274187,9.01708368070147e-13,TRUE
"BG","28",1000,500,TRUE,31136793.0035127,1421183.39330071,1.47352840716916e-15,TRUE
"BG","29",1000,500,TRUE,3486925.89298769,295224.690412845,9.86497618719375e-13,TRUE
"BG","30",1000,500,TRUE,1066292.6242733,122438.204593898,2.45558347675951e-11,TRUE
"BG","31",1000,500,TRUE,1646.35830720086,913.28492881485,0.000504738877269091,TRUE
"BG","32",1000,500,TRUE,10494005.9383981,498327.433008901,2.235175118029e-15,TRUE
"BG","33",1000,100,TRUE,3285500.57040496,19042.2546512817,5.61747330908394e-25,TRUE
"BG","34",1000,500,TRUE,30653538.3620491,1165537.26818335,2.15682377883706e-16,TRUE
"BG","35",1000,500,TRUE,7885733.04797359,138371.526561152,6.35797183404246e-20,TRUE
"BG","36",1000,100,TRUE,24113646.3530063,842629.251306417,8.87417341045126e-17,TRUE
"BG","37",1000,500,TRUE,2351806.36275101,431019.084856516,3.45122209665225e-09,TRUE
"BG","38",1000,500,TRUE,38498400.5755021,1579174.59521095,4.78984309070861e-16,TRUE
"BG","39",1000,500,TRUE,32399468.7894583,763187.391554072,1.40398866324706e-18,TRUE
"BG","40",1000,1000,FALSE,5862235.54789928,4844103.42787067,0.0479015512718915,TRUE
"BG","41",1000,500,TRUE,14727397.9765983,4033662.57539422,2.4706309174046e-07,TRUE
"BG","42",1000,500,TRUE,7774974.93357528,701968.861085977,1.94245762250723e-12,TRUE
"BG","43",1000,500,TRUE,9665745.71390052,2135759.15768839,2.51186801288787e-08,TRUE
"BG","44",1000,500,TRUE,462156.992681355,49943.0856210969,1.29400479411074e-11,TRUE
"BG","45",1000,1000,FALSE,222834.942820655,174347.032012312,0.0248492530428071,TRUE
"BG","46",1000,500,TRUE,30261829.3077927,1418554.9169724,1.95051158287007e-15,TRUE
"BG","47",1000,500,TRUE,94072344.3575232,20100970.2654895,1.75909397357944e-08,TRUE
"BG","48",1000,500,TRUE,1647193.0523663,376047.028889487,3.55410659188517e-08,TRUE
"BG","49",1000,500,TRUE,69383310.1257565,5839531.74058016,9.26456291087525e-13,TRUE
"BG","50",1000,500,TRUE,37454278.8872185,986960.220035202,4.56386195975453e-18,TRUE
"BG","51",1000,500,TRUE,7664276.35322067,400694.800333007,6.15011294813535e-15,TRUE
"BG","52",1000,500,TRUE,8800887.44168284,565003.012436238,5.34304293734714e-14,TRUE
"BG","53",1000,500,TRUE,1104082.66643782,177647.301261168,8.69059229856787e-10,TRUE
"BG","54",1000,500,TRUE,23537074.1443571,2679115.8991484,2.23880812201721e-11,TRUE
"BG","55",1000,500,TRUE,27935.4516728471,2762.38242580781,5.07068811880377e-12,TRUE
"BG","56",1000,500,TRUE,4033118.32911885,273689.613564436,9.58382773366613e-14,TRUE
"BG","57",1000,500,TRUE,2952346.96509504,1264811.54575926,3.00887153992935e-05,TRUE
"BG","58",1000,500,TRUE,2317259.90438175,581838.127866797,9.7836582587434e-08,TRUE
"BG","59",1000,100,TRUE,97220.7930543328,2441.30602844694,2.74955002006591e-18,TRUE
