"Enzyme","sample","Vmax.boot","Vmax.boot.SE","Vmax.boot.median","Vmax.boot.CIlow","Vmax.boot.CIhigh","Km.boot","Km.boot.SE","Km.boot.median","Km.boot.CIlow","Km.boot.CIhigh","Ki.boot","Ki.boot.SE","Ki.boot.median","Ki.boot.CIlow","Ki.boot.CIhigh","Rmax.boot.mean","Rmax.boot.SE","Rmax.boot.median","Rmax.boot.CIlow","Rmax.boot.CIhigh","SRmax05.boot.mean","SRmax05.boot.SE","SRmax05.boot.median","SRmax05.boot.CIlow","SRmax05.boot.CIhigh"
"AP","25",16236.5615321764,445.793670968388,16213.0857262144,15446.052279931,17145.2319075313,34.2384558114353,2.30760682935826,34.1529099806418,30.1177412235684,38.8565654951652,16235.5292945385,16063.975724481,11856.9207487076,6094.02069980844,59151.6704531705,14680.9897805822,154.898672507204,14672.9698551432,14408.6646862828,15000.0523722287,28.3285512927881,1.11477138123206,28.2994232827876,26.1323503287002,30.5939711165271
"AP","26",13756.9865715404,457.119539048017,13776.3931204302,12786.6166253306,14575.4745035075,151.717608576201,8.32685587386793,151.703819673344,134.99999531238,167.332127778762,3918.88354178143,757.256204082236,3791.65043598662,2793.24775962182,5804.11340044847,9832.01731426347,58.481048848031,9839.47950224839,9702.43741679426,9926.12183042436,85.4606350948817,1.68191155813157,85.4392372110525,82.5455732056871,88.9420936386001
"AP","27",6211.45756050104,89.0131240917254,6203.22234677159,6067.16897100839,6395.16721649297,22.7540520905433,1.14805779221357,22.7080076874449,20.7129199612046,25.2686880092766,9619089.28536754,1909210.10265472,9999976.07546263,18639.6647458892,1e+07,6175.88186923767,80.1602884525435,6177.62746214771,5999.71926356279,6323.50112378694,23.274767816852,1.14156419618495,22.582245617903,21.0767625767095,25.5932117002901
"AP","28",29254.9550751742,744.750267533535,29227.6395844947,27854.9859478909,30771.2530366415,152.608699589509,6.39807036927469,152.422227123535,140.872755419935,165.430535623276,5074.64893693657,886.908346404517,5003.43990727349,3677.47072491806,6970.68719072455,21656.3559365655,117.644728304234,21663.0342510452,21406.1852015552,21877.3607458341,90.7014279781892,1.54952698437591,90.7220900427156,87.5967357445934,93.5869981493277
"AP","29",13559.9975595349,773.702874567547,13523.3393044201,12115.5702281556,15194.9959741925,169.451563882258,15.4107233843761,168.97849929236,141.124581978961,202.187657484966,2383.84568730858,518.208732818171,2316.75623066606,1573.91929554991,3569.383480347,8780.84903132552,89.6302408110663,8780.42611544468,8601.63088534543,8953.2919919635,82.5496125898735,2.54613496571214,82.4214084217548,77.6316360078114,87.5844098549667
"AP","30",13405.5265036947,338.142495453907,13410.0638882211,12698.4050432203,14016.1305165262,140.986321315858,6.12621701263203,140.870198884908,129.016231946115,153.417672195751,8351.40025757297,2563.14936065267,7830.53173453208,5271.11125334308,14444.8897560795,10577.9887332332,82.8785324290445,10582.6039466063,10424.4823637896,10733.9735217725,92.6544224649452,1.90637631714261,92.6400164691946,88.9596525913038,96.5306868543934
"AP","31",296.884007391204,14.926759574523,296.001943010165,269.447976959507,327.971330584309,7.92338268436428,1.46971683533671,7.80388449008633,5.40301091493305,11.4647514079925,2310.41310923654,737.251837934601,2181.45515519,1374.70970101245,3973.89640686348,264.685505341239,8.55304865401889,264.179298843986,248.885712928853,281.936390196187,6.37160631083202,0.972263705079042,6.32711574261121,4.63686271413472,8.66497529540818
"AP","32",19033.4970105898,427.295327797821,19030.1343122708,18185.7212971313,19911.2331416666,134.482145573143,5.17699648735239,134.283682882908,124.496783809831,144.789116949731,5407.86808632797,871.67177366254,5257.05202099563,4095.35383746421,7462.30066332133,14434.5562630356,66.6255490465233,14433.3569319036,14315.1000211214,14582.6223052347,82.9756123256022,1.2184779591814,82.9701426914491,80.6139925947345,85.4104410059035
"AP","33",11010.459818949,341.270185494638,10999.1852481338,10310.2228588879,11710.1379799474,132.602301640715,7.03803198895455,132.197093550694,119.521623368119,146.541874733871,4290.94194164211,804.328049626184,4219.43736903134,3038.64902733117,6185.44181799059,8116.83097481725,47.4663431536525,8116.65924898923,8013.61392566496,8202.60927429087,78.2964710847289,1.57248600606934,78.2567275537274,75.2368157234025,81.64946800508
"AP","34",21321.8620502756,478.173145966233,21324.7628235779,20333.6912885641,22281.1614981931,104.045104282197,4.33025030125698,103.993052590273,95.6424897168313,113.389401704693,17294.7883536493,15806.6080551659,13968.2101847487,7727.67441574186,41596.241467685,18214.1877234097,212.996717291251,18188.2320176213,17883.3844368418,18721.3606595484,77.9910668228999,2.10187395118334,77.8083077744065,74.6718488563684,82.6336291867728
