"Enzyme","sample","maxS","max_pre_decrease_S","Sinhibition","RSS_MM","RSS_INH","pvalue","INHbetter"
"NAG","32",1000,500,TRUE,1903901.49778503,53410.5145862363,8.81275080440403e-18,TRUE
"NAG","33",1000,500,TRUE,881655.510937402,40303.344173624,1.49749399359194e-15,TRUE
"NAG","34",1000,500,TRUE,5167275.03025039,241636.861160143,1.90154551381776e-15,TRUE
"NAG","35",1000,500,TRUE,3258880.2291715,295645.04441047,2.04324623229299e-12,TRUE
"NAG","36",1000,500,TRUE,5958745.1573725,519996.25559631,1.35699478811363e-12,TRUE
"NAG","37",1000,500,TRUE,1542147.70466009,97844.9446824286,4.72014877091753e-14,TRUE
"NAG","38",1000,500,TRUE,11849261.1879695,488974.473272762,5.10211749719509e-16,TRUE
"NAG","39",1000,500,TRUE,21820426.7509594,1163286.26689078,7.55346956562202e-15,TRUE
"NAG","40",1000,500,TRUE,15266428.4662579,1134147.00607436,2.4871741254237e-13,TRUE
"NAG","41",1000,500,TRUE,3276112.8702002,244906.883931127,2.65621156897977e-13,TRUE
"NAG","42",1000,500,TRUE,1423476.57015796,180154.848393126,6.86201523917822e-11,TRUE
"NAG","43",1000,500,TRUE,1879329.77252212,57434.1629597751,2.16802953021975e-17,TRUE
"NAG","44",1000,500,TRUE,95099.9763279731,9135.0192272268,3.73388385364947e-12,TRUE
"NAG","45",1000,500,TRUE,1387058.1393397,26063.3154118516,1.30538256197765e-19,TRUE
"NAG","46",1000,500,TRUE,24274410.4479809,2258761.570581,2.67011839886421e-12,TRUE
"NAG","47",1000,500,TRUE,26083806.4168521,1057405.72401642,4.23151792858769e-16,TRUE
"NAG","48",1000,500,TRUE,2028889.4690479,173792.455969637,1.11549263917727e-12,TRUE
"NAG","49",1000,500,TRUE,23919510.273835,2311216.11432778,3.97334371904914e-12,TRUE
"NAG","50",1000,500,TRUE,13611595.8337388,1080213.06755094,4.98662978648814e-13,TRUE
