"Enzyme","sample","RMSE","RMSEp1","RMSEp2","MAPE","MAPEp1","MAPEp2","biasPERCENT","biasPERCENTp1","biasPERCENTp2","biasMEANRES","biasMEANRESp1","biasMEANRESp2","Rsquared","PRSEmax","PRSE_Vmax","PRSE_Km","PRSE_Ki","RMSEp1pdS","MAPEp1pdS","biasPERCENTp1pdS","biasMEANRESp1pdS","Sinhibition","INHbetter_aov_pvalue"
"AP","13",921444.765520412,805092.688227987,1433310.07514277,8.60560161072852,9.34963943128895,4.14137468736595,-6.05698744313957,-7.24283373454407,1.05809030528742,-176888.99982419,-244254.581700804,294670.073312112,0.995687077589663,39.0854047366345,4.92677645696935,9.11193346766236,39.0854047366345,NA,NA,NA,NA,TRUE,0.00920723766911773
"AP","14",87311.4506646455,83904.6980038513,105465.804114172,10.379426077347,10.2959914827337,10.8800336450271,0.564403495708982,0.35646154915125,1.81205517505537,-1675.75487830771,-2554.22361634231,4473.52628793451,0.936281197194866,81224.0427723549,5.37075181598419,20.766891500362,81224.0427723549,NA,NA,NA,NA,TRUE,1
"AP","15",150383.947353064,153679.180099361,128854.875632836,9.86288979775168,11.0143533005076,2.95410878121602,-6.21068133306856,-7.55858583607604,1.87674568497632,-25839.5207388832,-39727.8513350473,71378.7934342655,0.992031321135605,39.3346205707774,6.38692167695031,11.9187077113685,39.3346205707774,NA,NA,NA,NA,TRUE,0.00716115525170448
"AP","16",96194.3220204869,91493.0236877367,120613.402330419,8.60425056002841,9.51449801746976,3.14276581538027,-5.93152864460603,-7.07428677436464,0.925020133945642,-20307.3126464009,-27706.5806922626,31487.5636746308,0.996394415472668,41.5133916614903,4.24445934318703,8.15826178874044,41.5133916614903,NA,NA,NA,NA,TRUE,0.0156318397307032
"AP","17",341647.906639859,318874.470304716,454947.774922691,5.96428680890047,6.42957435536292,3.17256153012577,-3.87846710279097,-4.71593111149942,1.1463169494597,-54462.2005260355,-83898.3821465198,151591.070817354,0.996713056021039,32.483663708116,3.56425034647243,7.20131242875113,32.483663708116,NA,NA,NA,NA,TRUE,0.00251587722024204
"AP","18",369585.407738724,325575.414582742,565824.629907046,7.63583416888946,8.37015035515826,3.22993705127664,-5.58300327569584,-6.66774665095236,0.925456975843219,-70484.8997334683,-97226.2685850769,116704.682227792,0.99665977392861,24.2750000806134,4.79075965282881,8.36266354048256,24.2750000806134,NA,NA,NA,NA,TRUE,5.3206612725622e-05
"AP","19",169513.493825463,175339.051061649,129155.236669711,9.56292067110341,10.7860585802316,2.22409321633454,-6.40122742963682,-7.74998672227182,1.69132832617315,-35980.3355183713,-52892.4229075257,82404.2762057098,0.993432341315807,96.5351508693648,4.73999213760718,10.1386443848444,96.5351508693648,NA,NA,NA,NA,TRUE,0.30085114521175
"AP","20",222216.855855502,224373.889882446,208807.237466175,8.49838105090461,9.57624969690923,2.03116917487689,-5.84648167837039,-7.01185329106181,1.14574799777813,-43406.7658134811,-61374.4706136496,82367.1677876984,0.995210433956579,42.6323879436443,4.63846533646189,9.09357652218431,42.6323879436443,NA,NA,NA,NA,TRUE,0.0172906597630936
"AP","21",105815.496704968,105815.496704968,NA,8.49736854009302,8.49736854009302,NA,-6.26019625522949,-6.26019625522949,NA,-26792.2524116508,-26792.2524116508,NA,0.997592941390958,84.9930685283348,3.54302868344386,6.92734385723029,84.9930685283348,NA,NA,NA,NA,FALSE,0.242856656176949
"AP","22",55006.668124222,50805.7241666158,75450.6800389014,8.83980341039153,9.69730558080844,3.69479038789003,-6.19070913407563,-7.38708170323932,0.987526280906528,-11222.9572692552,-15305.2048566642,17352.7758426074,0.99576550254079,57.021986501294,4.58277298689197,8.84180750152466,57.021986501294,NA,NA,NA,NA,TRUE,0.075942479977442
