"Enzyme","sample","Vmax","Vmax_se","Km","Km_se","Ki","Ki_se","Rmax","SRmax","SRmax05","SRmax05highS","max_pre_decrease_S","Sinhibition","INHbetter_aov_pvalue"
"NAG","16",9002.55527356359,1310.60970862751,567.776540223762,98.7778031437592,360.872750397268,74.6436464491925,2565.81066090014,452.653379178367,98.8693849510503,2076.07021896585,500,TRUE,1.68911741521451e-13
"NAG","17",10168.2266296948,1082.78896425164,394.117306628394,53.2019956313931,536.898641180816,93.0130424180971,3747.20545572989,460.001137384059,92.6534944185913,2284.39769224891,500,TRUE,1.10190809088421e-12
"NAG","18",12493.6887367716,976.449547714878,381.722139080259,40.3797482274813,1008.93114738293,162.623083620139,5602.06862399729,620.589522763407,114.0757618601,3379.47886457769,500,TRUE,1.25202767159103e-10
"NAG","19",7022.22926779947,251.05271451616,445.818594036005,20.9742992821041,842.745538204057,56.6112836351493,2860.77722807703,612.953204553373,118.311799658767,3178.68451501803,500,TRUE,5.54984158283078e-19
"NAG","20",12046.9703378416,998.233958766512,475.038183476615,51.2568689679809,788.452056022017,118.791361644388,4719.84019857485,612.000680106731,120.208954468409,3118.71933294242,500,TRUE,3.00463451422622e-12
"NAG","21",6525.95909051694,342.930244840687,424.187726096014,29.8903309791461,993.361415607413,105.526395177924,2828.83872566925,649.131512159151,121.529572033396,3470.05807723922,500,TRUE,2.99724948984211e-14
"NAG","22",3961.40593790341,205.960048844548,350.965285572729,25.2492121493627,1193.4034706149,139.667328950026,1900.32212349007,647.180956045403,114.238862628277,3672.98928154685,500,TRUE,1.08683491938367e-12
"NAG","23",26373.1525757508,952.531819733614,393.784023152475,19.2998253725567,1064.41232596983,80.8665552332522,11898.6780287719,647.416842546966,118.553879258275,3538.50508632816,500,TRUE,6.99595865695658e-17
"NAG","24",48688.250233431,2118.50243286047,378.523893359482,22.4781402115861,1095.88650848022,102.145917263038,22381.058860421,644.064614670037,116.71617979619,3558.78885366324,500,TRUE,5.874164737656e-15
"NAG","25",13454.4157276736,405.093564522402,412.089490829452,16.4781992139321,876.838643076204,50.864409132899,5674.35922775757,601.112293972483,114.102523648342,3171.32585369211,500,TRUE,4.74265403558341e-20
"NAG","26",13363.7631352075,2815.08628702123,483.738072544969,132.074165696093,759.98180052905,286.58266659317,5148.5526676508,606.326752961782,119.943426078448,3065.57627586482,500,TRUE,8.95406073666851e-06
"NAG","27",12951.8455025354,1148.894627054,322.099917516202,39.9256215052975,1228.3018700165,251.418907665859,6398.59053636336,628.99597058909,108.827185630476,3638.90387809078,500,TRUE,3.69671190172938e-08
"NAG","28",22678.7236926339,1241.81073458473,348.864023050937,25.0600432626649,690.442579123973,67.6735803874492,9364.9677559846,490.785671998332,94.14210609989,2559.85078294657,500,TRUE,2.29595547866013e-16
