"Enzyme","sample","Vmax.boot","Vmax.boot.SE","Vmax.boot.median","Vmax.boot.CIlow","Vmax.boot.CIhigh","Km.boot","Km.boot.SE","Km.boot.median","Km.boot.CIlow","Km.boot.CIhigh"
"BG","17",3630.73423923213,128.243493141259,3635.46933236035,3375.04665429441,3861.76663722936,29.6077304350828,4.23457041813715,29.3845606354555,22.1138309319383,38.337857382246
"BG","18",9384.94754169414,296.294444765223,9367.37203509837,8875.51921420079,10005.8730677277,35.3555906148178,4.06492737030581,35.2760637228528,27.6953311779206,43.44733777739
"BG","19",2517.44826790371,68.0102860727732,2516.47259046856,2386.93291093983,2655.94596809712,37.6312882233038,3.76959503505655,37.4274891005506,30.7885754233646,45.2607960679617
"BG","20",4518.21474213351,109.727152202889,4509.6257848596,4309.80529187635,4744.32029057947,32.9078287881557,3.08184292546164,32.8464825583083,26.9658676501126,38.9973457041814
"BG","21",2570.24069517556,73.6942692046268,2570.29106609921,2424.85930470638,2725.47372660264,36.6453962383688,3.96263513550925,36.3603406314849,29.7094435047608,44.704349704948
"BG","22",2744.48838497389,82.3098506098634,2745.72072362815,2585.50822814665,2902.21269519307,29.4594098054893,3.34882727503119,29.347784257765,23.4738145571749,36.3956835562104
"BG","23",12758.9753883432,541.995908051491,12749.8282446535,11701.1167690527,13797.7645539421,29.6195156834127,4.95573577040572,29.2867039111063,21.1450754160245,40.7900716503774
"BG","24",31845.5220561696,1451.95326258188,31783.9402628622,29130.7744175698,34805.9144601302,32.7858813715117,5.63076125858713,32.2948608101734,23.3511239400536,45.2809846408366
"BG","25",5694.88483488987,148.941951303617,5693.48112828024,5407.25047123414,5978.96044513255,30.9966072183387,3.21323050262531,30.9084642225238,24.91401302087,37.7263026328756
"BG","26",7523.58979672382,238.980845566647,7525.10357456219,7046.8043592113,7984.91825649216,41.3503702491714,4.87340217451572,41.0957639741375,32.5585831423066,51.5516107949255
"BG","27",10101.1462576633,424.06348360759,10106.9193075488,9312.90259620063,10913.2224195768,31.3810239866789,5.3350888703772,31.0344918311694,22.6586180964359,42.4913153203462
"BG","28",15714.5374059045,554.047967004055,15704.5075589096,14702.6655068974,16831.9373409134,49.6439948679269,6.38175879573476,49.048741410552,38.364705835957,63.2128451463317
"BG","29",4433.19313781878,164.472189878545,4432.59155537503,4096.90184477706,4730.77540147278,29.7921071943918,4.43259597127948,29.5656041796825,22.285259169056,39.4269427285525
"BG","30",2949.19684256239,92.2319614153009,2946.68568710122,2776.84766573539,3136.3021336635,24.4223021880401,3.13655454729981,24.086687229283,19.0115657829844,31.493200087884
"BG","31",235.479391969884,3.78980658820215,235.812034093852,227.768175379677,242.607065976065,31.1811639988549,1.97871249389419,31.0250008963276,27.6317902892541,35.3883960873428
"BG","32",5382.29496244415,276.610077842029,5383.33954613513,4835.14498698114,5931.80893034789,22.6042740009022,4.88356988972153,22.0851892985163,14.6870353560318,33.3093452637312
"BG","33",3196.37076191796,150.050035744202,3194.22192691719,2906.96135175628,3487.38143982251,18.0750296431931,3.6680440387221,17.6787860312772,12.0948191517013,26.717634392768
"BG","34",15324.823793146,534.500475100087,15320.1250490498,14300.0260992109,16353.6755147018,41.3458872060093,5.47202142566809,40.8328709445172,31.7384281553621,52.5222040300755
"BG","35",6791.17044483171,261.76681395741,6785.51683171267,6301.57349299869,7338.69900146821,29.6106703981693,4.28638040093393,29.3758192527398,21.9417300279952,38.815991040695
"BG","36",9006.71048879765,407.209952746636,8985.27981067693,8230.02425844919,9843.89824832632,21.2061055248524,4.02358066175603,20.9914651260286,14.3236773296453,29.4067484055912
"BG","37",7102.91118224442,185.618439255257,7098.90761107902,6757.11842579596,7477.61304575635,90.0899511179126,8.07773116219155,89.7464453188272,74.967698679372,107.086302030838
"BG","38",17684.8308981543,604.136648880991,17684.7296938845,16505.9588767423,18886.0208135506,40.1140060414459,5.18332713734493,39.6943969263688,30.7821466072793,51.180411298177
"BG","39",19010.6661682396,613.738939729076,19022.8419671031,17808.4801072628,20208.3423064912,55.2194769739941,6.09763205822733,55.103123313335,43.4799157243896,67.651698899027
"BG","40",17160.0329272354,343.317683581988,17140.4234867535,16494.5409983118,17890.2266027036,128.076388595938,8.34873372517874,127.946277783162,110.738061340168,144.15017466009
"BG","41",9619.43680221227,422.387443062382,9592.39362849398,8837.06360897021,10556.5341329538,63.735264074354,9.73459925559991,63.6614429474972,45.3313782129453,84.3467532439403
